,Précision,Rappel,F1-Score,Support
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9032258064516129,0.7272727272727273,0.8057553956834532,77.0
Corn_(maize)___Common_rust_,0.994413407821229,0.994413407821229,0.994413407821229,179.0
Corn_(maize)___Northern_Leaf_Blight,0.8695652173913043,0.9459459459459459,0.9061488673139159,148.0
Corn_(maize)___healthy,0.9886363636363636,1.0,0.9942857142857143,174.0
"Pepper,_bell___Bacterial_spot",0.9931972789115646,0.9798657718120806,0.9864864864864865,149.0
"Pepper,_bell___healthy",0.9866071428571429,0.9954954954954955,0.9910313901345291,222.0
Potato___Early_blight,0.9932885906040269,0.9866666666666667,0.9899665551839465,150.0
Potato___Late_blight,0.9662162162162162,0.9533333333333334,0.959731543624161,150.0
Potato___healthy,0.92,1.0,0.9583333333333334,23.0
Tomato___Bacterial_spot,0.9029411764705882,0.9623824451410659,0.9317147192716236,319.0
Tomato___Early_blight,0.978021978021978,0.5933333333333334,0.7385892116182573,150.0
Tomato___Late_blight,0.9106529209621993,0.9265734265734266,0.9185441941074524,286.0
Tomato___Leaf_Mold,0.9481481481481482,0.8951048951048951,0.920863309352518,143.0
Tomato___Septoria_leaf_spot,0.9084249084249084,0.9323308270676691,0.9202226345083488,266.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9680365296803652,0.8446215139442231,0.902127659574468,251.0
Tomato___Target_Spot,0.782258064516129,0.919431279620853,0.8453159041394336,211.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9949494949494949,0.9800995024875622,0.9874686716791979,804.0
Tomato___Tomato_mosaic_virus,0.9454545454545454,0.9285714285714286,0.9369369369369369,56.0
Tomato___healthy,0.8434163701067615,0.9916317991631799,0.9115384615384615,239.0
cassava___bacterial_blight_(cbb),0.4774193548387097,0.4539877300613497,0.46540880503144655,163.0
cassava___brown_streak_disease_(cbsd),0.5760869565217391,0.4847560975609756,0.5264900662251656,328.0
cassava___green_mottle_(cgm),0.47109826589595377,0.4553072625698324,0.4630681818181818,358.0
cassava___healthy,0.3892857142857143,0.8471502590673575,0.533442088091354,386.0
cassava___mosaic_disease_(cmd),0.935969868173258,0.7553191489361702,0.8359966358284272,1974.0
accuracy,0.8275048570635581,0.8275048570635581,0.8275048570635581,0.8275048570635581
macro avg,0.8603047633474982,0.8563997623979501,0.8509950072328349,7206.0
weighted avg,0.8601960850426454,0.8275048570635581,0.8347715656003467,7206.0
